u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
25.4646,25.4454,24.3395,24.137,23.8017,0.3497
24.0128,23.8867,23.3651,23.1063,22.717,1.5243
26.2838,25.5663,24.6842,24.706,24.1563,2.3132
25.2856,25.3598,24.4885,24.5062,24.2335,0.0497
24.4163,24.4614,24.2164,24.0272,23.4925,1.2226
24.7812,24.9541,24.2613,23.6778,23.3373,0.761
25.6596,25.7257,25.3447,24.7626,24.2157,1.0613
25.1686,25.5016,24.7639,24.0112,23.5158,0.8634
24.4347,24.4871,24.2201,24.0115,23.7471,1.5553
25.7372,25.473,24.8284,24.287,23.578,1.3727
24.572,24.5832,23.709,23.3078,23.1296,0.6404
25.424,25.3858,24.4516,23.9164,23.7725,0.6248
24.7865,25.0181,24.8545,24.6191,24.3399,1.002
25.573,25.2696,23.9763,23.7885,23.5556,0.3273
25.8693,25.023,22.89,22.1398,21.6159,0.5146
24.9068,24.9983,24.2508,23.9862,23.8774,0.6343
24.9403,24.9432,24.6241,24.5087,23.7566,1.2534
25.3008,24.5379,22.4738,21.9453,21.5318,0.3326
25.5898,25.4035,24.8592,24.2655,23.7896,1.7349
24.0523,24.2001,23.5876,23.1047,22.784,0.8151
24.3986,24.2332,22.8082,22.5176,22.1671,0.3248
25.345,25.2713,24.1665,23.6283,22.7363,1.1294
24.2078,24.4058,24.1124,23.9337,23.3976,1.231
24.2908,24.1211,22.7514,22.4993,22.1099,0.3375
25.8432,25.4797,23.8116,23.052,22.5878,0.5918
25.1198,25.4198,25.0674,24.588,24.2093,0.9727
24.5119,24.3768,23.3329,22.743,22.4866,0.6669
24.6965,24.8152,23.7774,23.2692,23.1051,0.6058
26.2749,27.223,25.6955,24.5948,23.5483,1.2818
25.7903,25.6987,24.4563,24.3885,24.043,0.3563
25.6467,25.2818,24.1414,23.8846,23.6826,0.1968
24.6956,24.5767,23.7497,23.237,22.9619,0.7034
24.0408,24.1602,23.5093,23.1298,22.4028,1.2441
25.9075,25.9399,25.4523,25.0815,24.658,1.4488
24.4841,24.6017,24.2816,24.0872,23.5347,1.2493
27.1865,27.8465,25.7477,25.9536,24.7551,2.2464
25.5913,25.7207,24.5374,23.5496,22.7164,1.0029
25.0302,25.1443,24.5864,23.9673,23.629,0.9084
